Delta_t Tiempo_acumulado #Autos
4.37275 4.37275 2
4.52662 8.89937 3
4.24437 13.1437 4
1.89686 15.0406 5
6.48111 21.5217 6
2.68289 24.2046 7
1.94891 26.1535 8
7.67298 33.8265 9
2.86059 36.6871 10
7.17711 43.8642 11
6.75157 50.6158 12
14.3554 64.9712 13
3.63848 68.6097 14
8.46137 77.071 15
21.1859 98.2569 16
11.3872 109.644 17
6.13096 115.775 18
4.0871 119.862 19
2.18769 122.05 20
2.00759 124.057 21
14.2714 138.329 22
3.47934 141.808 23
3.42934 145.238 24
2.51565 147.753 25
1.25754 149.011 26
0.620614 149.631 27
3.25064 152.882 28
2.67233 155.554 29
0.700398 156.255 30
5.17384 161.429 31
13.8277 175.256 32
3.96749 179.224 33
2.67442 181.898 34
2.16112 184.059 35
1.69286 185.752 36
5.6525 191.405 37
2.02724 193.432 38
4.15378 197.586 39
11.2492 208.835 40
4.71422 213.549 41
8.14514 221.694 42
40.4745 262.169 43
1.93966 264.108 44
5.55701 269.665 45
2.30595 271.971 46
3.3587 275.33 47
29.6706 305.001 48
2.86859 307.869 49
4.76539 312.635 50
5.80466 318.439 51
8.62102 327.06 52
4.33404 331.394 53
5.6429 337.037 54
2.19308 339.23 55
5.15464 344.385 56
1.99942 346.384 57
3.34306 349.727 58
1.68457 351.412 59
11.1794 362.591 60
-0.105144 362.486 61
2.58568 365.072 62
1.96878 367.041 63
0.993694 368.034 64
1.57767 369.612 65
3.97706 373.589 66
1.09285 374.682 67
1.61327 376.295 68
1.48788 377.783 69
2.67564 380.459 70
4.48905 384.948 71
1.92322 386.871 72
3.59175 390.463 73
2.97237 393.435 74
3.28436 396.719 75
2.73429 399.454 76
6.08373 405.537 77
9.76586 415.303 78
0.701996 416.005 79
2.38555 418.391 80
10.374 428.765 81
2.17088 430.936 82
9.47173 440.408 83
29.2438 469.651 84
5.35678 475.008 85
3.94736 478.955 86
2.50627 481.462 87
3.12837 484.59 88
3.0777 487.668 89
7.6013 495.269 90
4.7213 499.99 91
4.77572 504.766 92
7.12143 511.888 93
2.59515 514.483 94
3.96931 518.452 95
2.74664 521.199 96
7.55993 528.759 97
4.95865 533.717 98
2.40078 536.118 99
1.11386 537.232 100
1.87935 539.111 101
4.76227 543.873 102
6.7432 550.617 103
6.58097 557.198 104
0.296578 557.494 105
